Year,Group,Width,Filler
1980,Mujahideen,80,Mujahideen.svg
1989,Taliban,40,Taliban.svg
1989,Al Qaeda,40,Al-Qaeda.svg
2001,Taliban,40,Taliban.svg
2003,Taliban,20,Taliban.svg
2004,Jama'at ,20,Jamaat.svg
2005,AQI,80,AQI.svg
2006,AQI,80,AQI.svg
2011,ISI,20,ISIS.svg
2013,ISIS,80,ISIS.svg
2014,ISIS,100,ISIS.svg
