Year,Origin,Destination,Refugees,Returned,IDPs,Storyline
1978,Viet Nam,Malaysia,49580,0,0,
1978,Ethiopia,Sudan,265500,90,0,
1978,Ethiopia,Somalia,600000,8880,0,
1978,Burundi,United Rep. of Tanzania,129580,0,0,
1978,Rwanda,United Rep. of Tanzania,25100,0,0,
1978,Dem. Rep. of the Congo,Uganda,34700,0,0,
1978,Rwanda,Uganda,78000,0,0,
1979,Dem. Rep. of the Congo,Angola,30000,80550,0,
1979,Rwanda,Burundi,49480,0,0,
1979,Viet Nam,China,250000,0,0,
1979,Rwanda,Dem. Rep. of the Congo,22000,0,0,
1979,Ethiopia,Djibouti,28800,0,0,
1979,Viet Nam,"China, Hong Kong SAR",55700,760,0,
1979,Viet Nam,Indonesia,32200,0,0,
1979,Afghanistan,Iran (Islamic Rep. of),100000,0,0,
1979,Iraq,Iran (Islamic Rep. of),30000,0,0,
1979,Viet Nam,Malaysia,34300,0,0,
1979,Afghanistan,Pakistan,400000,0,0,
1979,Ethiopia,Saudi Arabia,100000,0,0,
1979,Ethiopia,Sudan,311200,20900,0,
1979,Ethiopia,Somalia,1175000,0,0,
1979,Burundi,United Rep. of Tanzania,132880,0,0,
1979,Rwanda,United Rep. of Tanzania,26330,0,0,
1979,Dem. Rep. of the Congo,Uganda,34000,0,0,
1979,Rwanda,Uganda,78000,0,0,
1980,Dem. Rep. of the Congo,Burundi,50750,0,0,
1980,Rwanda,Burundi,183810,0,0,
1980,Viet Nam,China,263000,0,0,
1980,Rwanda,Dem. Rep. of the Congo,22000,0,0,
1980,Ethiopia,Djibouti,45310,0,0,
1980,Viet Nam,"China, Hong Kong SAR",24070,6450,0,
1980,Afghanistan,Iran (Islamic Rep. of),300000,0,0,
1980,Iraq,Iran (Islamic Rep. of),30000,0,0,
1980,Afghanistan,Pakistan,1428230,0,0,
1980,Viet Nam,Philippines,20300,6890,0,
1980,Ethiopia,Saudi Arabia,100000,0,0,
1980,Ethiopia,Sudan,411000,0,0,
1980,Ethiopia,Somalia,2000000,0,0,
1980,Burundi,United Rep. of Tanzania,148620,0,0,
1980,Dem. Rep. of the Congo,Uganda,32000,0,0,
1980,Rwanda,Uganda,80000,0,0,
1981,Dem. Rep. of the Congo,Burundi,51090,0,0,
1981,Rwanda,Burundi,183170,160,0,
1981,Viet Nam,China,265000,0,0,
1981,Ethiopia,Djibouti,31600,18800,0,
1981,Afghanistan,Iran (Islamic Rep. of),1500000,0,0,
1981,Iraq,Iran (Islamic Rep. of),65000,0,0,
1981,Afghanistan,Pakistan,2375330,0,0,
1981,Ethiopia,Saudi Arabia,65000,0,0,
1981,Ethiopia,Sudan,488450,7620,0,
1981,Ethiopia,Somalia,700000,0,0,
1981,Burundi,United Rep. of Tanzania,153700,0,0,
1981,Dem. Rep. of the Congo,Uganda,32000,50,0,
1981,Rwanda,Uganda,80000,7050,0,
1982,Dem. Rep. of the Congo,Angola,20060,0,0,
1982,Rwanda,Burundi,234590,160,0,
1982,Viet Nam,China,268350,0,0,
1982,Ethiopia,Djibouti,34000,0,0,
1982,Afghanistan,Iran (Islamic Rep. of),1600000,0,0,
1982,Iraq,Iran (Islamic Rep. of),100000,0,0,
1982,Afghanistan,Pakistan,2877480,0,0,
1982,Ethiopia,Saudi Arabia,57000,0,0,
1982,Ethiopia,Sudan,460000,0,0,
1982,Ethiopia,Somalia,700000,0,0,
1982,Burundi,United Rep. of Tanzania,148270,0,0,
1982,Dem. Rep. of the Congo,Uganda,32000,0,0,
1982,Rwanda,Uganda,80000,0,0,
1983,Dem. Rep. of the Congo,Angola,20060,2600,0,
1983,Rwanda,Burundi,227870,0,0,
1983,Viet Nam,China,272720,0,0,
1983,Ethiopia,Djibouti,29170,5140,0,
1983,Sudan,Ethiopia,31000,0,0,
1983,Afghanistan,Iran (Islamic Rep. of),1800000,0,0,
1983,Iraq,Iran (Islamic Rep. of),100000,0,0,
1983,Afghanistan,Pakistan,2900000,0,0,
1983,Ethiopia,Saudi Arabia,57000,0,0,
1983,Ethiopia,Sudan,484000,0,0,
1983,Ethiopia,Somalia,700000,0,0,
1983,Burundi,United Rep. of Tanzania,148050,0,0,
1983,Dem. Rep. of the Congo,Uganda,31350,0,0,
1983,Rwanda,Uganda,80320,0,0,
1984,Rwanda,Burundi,227870,0,0,
1984,Viet Nam,China,275960,0,0,
1984,Sudan,Ethiopia,180000,0,0,
1984,Afghanistan,Iran (Islamic Rep. of),1900000,0,0,
1984,Iraq,Iran (Islamic Rep. of),100000,0,0,
